"parameter_id","group_id"
"IMPC_HIS_018_001",2
"IMPC_HIS_031_001",4
"IMPC_HIS_032_001",4
"IMPC_HIS_033_001",4
"IMPC_HIS_034_001",4
"IMPC_HIS_035_001",4
"IMPC_HIS_036_001",4
"IMPC_HIS_127_001",1
"IMPC_HIS_128_001",1
"IMPC_HIS_129_001",1
"IMPC_HIS_130_001",1
"IMPC_HIS_131_001",1
"IMPC_HIS_132_001",1
"IMPC_HIS_177_001",3
"IMPC_HIS_230_001",1
"IMPC_HIS_231_001",1
"IMPC_HIS_232_001",1
"IMPC_HIS_233_001",1
"IMPC_HIS_234_001",1
"IMPC_HIS_235_001",1
"IMPC_HIS_236_001",1
"IMPC_HIS_237_001",1
"IMPC_HIS_238_001",1
"IMPC_HIS_239_001",1
"IMPC_HIS_240_001",1
"IMPC_HIS_241_001",1
"IMPC_HIS_242_001",1
"IMPC_HIS_243_001",1
"IMPC_HIS_258_001",2
"IMPC_HIS_259_001",2
"IMPC_HIS_260_001",2
"IMPC_HIS_261_001",2
"IMPC_HIS_262_001",2
"IMPC_HIS_263_001",2
"IMPC_HIS_264_001",2
"IMPC_HIS_293_001",2
"IMPC_HIS_294_001",2
"IMPC_HIS_295_001",2
"IMPC_HIS_296_001",2
"IMPC_HIS_297_001",2
"IMPC_HIS_298_001",2
"IMPC_HIS_299_001",2
"IMPC_HIS_300_001",2
"IMPC_HIS_301_001",2
"IMPC_HIS_301_001",5
"IMPC_HIS_302_001",2
"IMPC_HIS_305_001",4
"IMPC_HIS_321_001",1
"IMPC_HIS_332_001",1
"IMPC_HIS_333_001",1
"IMPC_HIS_336_001",2
"IMPC_HIS_341_001",2
"IMPC_HIS_342_001",1
"IMPC_HIS_343_001",1
"IMPC_HIS_344_001",1
"IMPC_HIS_345_001",1
"IMPC_HIS_346_001",1
"IMPC_HIS_347_001",1
"IMPC_HIS_348_001",1
"IMPC_HIS_349_001",1
"IMPC_HIS_179_002",2
"IMPC_HIS_180_002",5
"IMPC_HIS_181_002",2
"IMPC_HIS_184_002",4
"IMPC_HIS_200_002",1
"IMPC_FOR_013_001",1
"IMPC_GPM_004_001",1
"IMPC_GPM_006_001",3
"IMPC_GPM_007_001",3
"IMPC_GPM_017_001",4
"IMPC_GPM_018_001",5
"IMPC_EYE_020_001",5
"IMPC_EYE_021_001",5
"IMPC_EYE_022_001",5
"IMPC_EML_007_001",1
"IMPC_EML_007_001",3
"IMPC_EML_014_001",3
"IMPC_EML_017_001",3
"IMPC_EML_011_001",4
"IMPC_FEA_033_001",1
"IMPC_FEA_036_001",1
"IMPC_FEA_038_001",1
"IMPC_FEA_039_001",1
"IMPC_FEA_057_001",1
"IMPC_FEA_060_001",2
"IMPC_FEA_061_001",1
"IMPC_FEA_075_001",4
"IMPC_FEA_076_001",4
"IMPC_FEA_108_001",1
"IMPC_GPO_004_001",1
"IMPC_GPO_006_001",3
"IMPC_GPO_007_001",3
"IMPC_GPO_017_001",4
"IMPC_CAL_035_001",1
"IMPC_CAL_036_001",3
"IMPC_CAL_036_001",4
"IMPC_HIS_351_001",1
"IMPC_HIS_342_002",1
"IMPC_HIS_344_002",1
"IMPC_HIS_352_001",1
"IMPC_HIS_230_002",1
"IMPC_HIS_232_002",1
"IMPC_HIS_353_001",2
"IMPC_HIS_001_002",2
"IMPC_HIS_003_002",2
"IMPC_HIS_354_001",1
"IMPC_HIS_237_002",1
"IMPC_HIS_239_002",1
"IMPC_HIS_358_001",5
"IMPC_HIS_007_002",5
"IMPC_HIS_009_002",5
"IMPC_HIS_361_001",4
"IMPC_HIS_031_002",4
"IMPC_HIS_033_002",4
"IMPC_HIS_373_001",2
"IMPC_HIS_375_001",2
"IMPC_HIS_376_001",2
"IMPC_HIS_377_001",2
"IMPC_HIS_382_001",2
"IMPC_HIS_293_002",2
"IMPC_HIS_295_002",2
"IMPC_HIS_384_001",1
"IMPC_HIS_127_002",1
"IMPC_HIS_129_002",1
"IMPC_HIS_387_001",2
"IMPC_HIS_013_002",2
"IMPC_HIS_015_002",2
"IMPC_HIS_398_001",2
"IMPC_HIS_258_002",2
"IMPC_HIS_260_002",2
"IMPC_HIS_402_001",1
"IMPC_HIS_404_001",1
"IMPC_HIS_405_001",1
"IMPC_HIS_406_001",1
"IMPC_HIS_345_002",1
"IMPC_HIS_348_002",1
"IMPC_HIS_372_001",2
"IMPC_HIS_374_001",2
"IMPC_HIS_378_001",2
"IMPC_HIS_379_001",2
"IMPC_HIS_401_001",1
"IMPC_HIS_403_001",1
"IMPC_HIS_407_001",1
"IMPC_HIS_408_001",1
"IMPC_HIS_409_001",1
"IMPC_HIS_410_001",1
"IMPC_HIS_411_001",1
"IMPC_HIS_412_001",1
"IMPC_HIS_413_001",1
"IMPC_HIS_414_001",1
"IMPC_HIS_415_001",1
"IMPC_HIS_416_001",1
"IMPC_HIS_417_001",2
"IMPC_HIS_417_001",5
"IMPC_HIS_418_001",2
"IMPC_HIS_418_001",5
"IMPC_HIS_419_001",2
"IMPC_HIS_419_001",5
"IMPC_HIS_420_001",2
"IMPC_HIS_420_001",5
"IMPC_HIS_421_001",2
"IMPC_HIS_421_001",5
"IMPC_HIS_422_001",2
"IMPC_HIS_422_001",5
"IMPC_HIS_423_001",2
"IMPC_HIS_423_001",5
"IMPC_HIS_424_001",2
"IMPC_HIS_424_001",5
"IMPC_YMZ_016_001",1
"IMPC_YMZ_027_001",4
"IMPC_GPP_004_001",1
"IMPC_GPP_006_001",3
"IMPC_GPP_007_001",3
"IMPC_GPP_017_001",4
"IMPC_GPP_018_001",5
"IMPC_VIA_017_001",1
"IMPC_VIA_031_001",4
"IMPC_WEL_003_001",3
"IMPC_EOL_006_001",1
"IMPC_EOL_006_001",3
"IMPC_EOL_008_001",4
"IMPC_EOL_011_001",3
"IMPC_EOL_012_001",3
"IMPC_EMO_007_001",1
"IMPC_EMO_007_001",3
"IMPC_EMO_011_001",4
"IMPC_EMO_014_001",3
"IMPC_EMO_017_002",3
"IMPC_EMO_018_001",2
"IMPC_EMO_020_001",2
"IMPC_EMO_022_001",4
"IMPC_EMO_023_001",4
"IMPC_EMO_024_001",4
"IMPC_EMO_025_001",1
"IMPC_EMO_028_001",1
"IMPC_EMO_030_001",4
"IMPC_EMO_032_001",2
"IMPC_EMO_033_001",2
"IMPC_EMO_034_001",2
"IMPC_EMO_037_001",2
"IMPC_EMO_038_001",4
"IMPC_EMO_039_001",4
"IMPC_EMO_040_001",2
"IMPC_EMO_042_001",4
"IMPC_EMO_045_001",2
"IMPC_EMO_049_001",1
"IMPC_EMO_050_001",5
"IMPC_EMO_061_001",2
"IMPC_EMO_064_001",2
"IMPC_EMO_067_001",1
"IMPC_EMO_068_001",2
"IMPC_EMO_070_001",2
"IMPC_EMO_071_001",5
"IMPC_EMO_072_001",4
"IMPC_EMO_074_001",5
"IMPC_EMO_080_001",2
"IMPC_EMO_081_001",2
"IMPC_EMO_083_001",2
"IMPC_EMO_084_001",5
"IMPC_EMO_087_001",2
"IMPC_EMO_088_001",2
"IMPC_EMO_090_001",2
"IMPC_EMO_091_001",2
"IMPC_EMO_093_001",2
"IMPC_EMO_094_001",2
"IMPC_EMO_095_001",2
"IMPC_EMO_097_001",2
"IMPC_EMO_099_001",1
"IMPC_EMO_101_001",2
"IMPC_EMO_102_001",2
"IMPC_EMO_103_001",2
"IMPC_EMO_104_001",4
"IMPC_EMO_109_001",2
"IMPC_EMO_109_001",5
"IMPC_EMO_111_001",2
"IMPC_EMO_112_001",2
"IMPC_EMO_112_001",5
"IMPC_EMO_125_001",2
"IMPC_EMO_126_001",4
"IMPC_EMO_128_001",4
"IMPC_EMO_138_001",1
"IMPC_EMO_139_001",2
"IMPC_EMO_140_001",2
"IMPC_EMO_148_001",4
"IMPC_EMO_152_001",1
"IMPC_EMO_154_001",2
"IMPC_EMO_155_001",4
"IMPC_EMO_161_001",4
"IMPC_EMO_162_001",2
"IMPC_EMO_166_001",4
"IMPC_EMO_169_001",2
"IMPC_EMO_169_001",4
"IMPC_EMO_175_001",1
"IMPC_EMO_017_001",3
"IMPC_IMM_001_002",1
"IMPC_IMM_239_001",4
"IMPC_IMM_242_001",4
"IMPC_IMM_245_001",4
"IMPC_IMM_248_001",4
"IMPC_IMM_251_001",4
"IMPC_IMM_254_001",4
"IMPC_IMM_257_001",4
"IMPC_IMM_262_001",4
"IMPC_IMM_266_001",4
"IMPC_IMM_270_001",4
